# Crossword Dictionary
# Format: WORD|Clue|Hint
CAT|A small furry pet|It meows
LOCAL|Relating to a nearby area|Neighbourhood thing
LOGIC|Reasoning and analysis|Sound thinking
LOOSE|Not tight or fixed|Opposite of tight
LOWER|To move something down|Reduce the height
LUCKY|Having good fortune|Fortune favours this
LUNAR|Relating to the moon|Moon based
MAGIC|Mysterious power|Conjured by wizards
MAJOR|Greater in importance|Primary subject
MAPLE|A type of tree|Produces syrup
MARCH|To walk in a military manner|Also third month
MATCH|A contest or a fire starter|Competition or flame
MAYOR|Head of a city government|City leader
MEDAL|An award for achievement|Given at Olympics
MERCY|Compassion shown to others|Kindness to enemies
METAL|A hard shiny material|Iron and gold
MICRO|Very small|Tiny scale
MIGHT|Power or strength|Could possibly
MINOR|Lesser in importance|Small scale
MINUS|A subtraction sign|Take away
MODEL|A representation or example|Fashion person
MONEY|Currency used for payment|Coins and notes
MONTH|A period of about 30 days|January to December
MORAL|Relating to right and wrong|Ethical principle
MOTOR|A machine that produces motion|Engine part
MOUNT|To climb or attach to|Go up a hill
MOUSE|A small rodent|Computer device too
MOUTH|Opening in face for eating|Used for speaking
MOVED|Changed position|Went from place to place
MOVIE|A film shown in cinema|Motion picture
MUSIC|Organised sound|Played on instruments
NAIVE|Lacking experience|Innocent and simple
NERVE|A fibre that transmits signals|Part of nervous system
NIGHT|The period of darkness|Opposite of day
NOBLE|Having high moral qualities|Aristocratic person
NOISE|Unwanted sound|Loud disturbance
NORTH|A direction on the compass|Opposite of south
NOTED|Famous or well known|Recognised person
NOVEL|A long written story|Fiction book
NURSE|A medical professional|Cares for patients
NYLON|A synthetic fabric|Used in stockings
OCEAN|A vast body of salt water|Bigger than a sea
OFFER|To present for acceptance|Put forward a proposal
OLIVE|A small oval fruit|Used to make oil
OPERA|A musical drama|Performed on stage
ORBIT|The path around a planet|Circular space path
ORDER|An instruction or arrangement|Command given
ORGAN|A musical instrument or body part|Church music maker
OTHER|Different or additional|Not the same
OUTER|Located on the outside|External part
OWNER|A person who possesses something|Has legal title
OZONE|A form of oxygen|Protects from UV rays
PAINT|A coloured liquid for coating|Applied with brush
PANEL|A flat section or group|Board of experts
PAPER|A thin material for writing|Made from wood pulp
PATCH|A piece used to repair|Covers a hole
PAUSE|A temporary stop|Brief break
PEACE|Freedom from conflict|Opposite of war
PEARL|A gem found in oysters|White and lustrous
PEDAL|A lever operated by foot|Bicycle part
PENNY|A small coin|One cent
PHASE|A stage of development|Period of change
PHONE|A device for communication|Makes calls
PHOTO|A captured image|Taken by camera
PIANO|A large musical instrument|Has black and white keys
PILOT|A person who flies aircraft|Controls the plane
PIXEL|A tiny dot on screen|Makes up digital image
PIZZA|A flat baked dish|Italian food
PLACE|A particular location|Specific spot
PLAIN|Simple or flat area of land|Without decoration
PLANE|A flat surface or aircraft|Flies through sky
PLATE|A flat dish for food|Dinner is served on this
PLAZA|An open public area|Town square
PLUCK|To pull sharply|Pick a guitar string
PLUMB|Exactly vertical|Perfectly straight down
PLUME|A feather or column of smoke|Bird decoration
PLUNGE|To jump into water|Dive deep
POINT|A sharp tip or idea|Sharp end
POLAR|Relating to the poles|Arctic and Antarctic
POPPY|A red flowering plant|Remembrance symbol
PORCH|A covered entrance|Front of house
POUND|A unit of weight or currency|British money
POWER|The ability to do something|Energy and strength
PRESS|To push firmly|Apply pressure
PRICE|The amount paid for something|Cost of item
PRIDE|A feeling of satisfaction|Lion group too
PRIME|Most important or first|Best quality
PRISM|A transparent object splitting light|Creates rainbow
PRIZE|A reward for winning|Trophy or medal
PROBE|To investigate|Space explorer
PROSE|Written language not in verse|Normal writing
PROUD|Feeling pleased with achievement|Self satisfied
PROVE|To show something is true|Demonstrate fact
PSALM|A sacred song or poem|Biblical hymn
PUBIC|Relating to the lower abdomen|Anatomical term
PULSE|Regular beat of heart|Rhythmic throb
PUNCH|To strike with fist|Also a drink
PUPIL|A student or part of eye|School learner
PURSE|A small bag for money|Carries coins
PUSH|To exert force away|Shove forward
QUEEN|Female ruler or chess piece|Royal lady
QUEST|A long search|Adventure journey
QUICK|Moving fast|Speedy action
QUIET|Making little noise|Hushed and still
QUOTA|A fixed share or limit|Allocated amount
QUOTE|To repeat words|Cited passage
RADAR|System using radio waves|Detects aircraft
RADIO|Device for wireless communication|Broadcasts music
RAISE|To lift up|Increase height
RALLY|A mass meeting|Political gathering
RANCH|A large farm|Cowboys work here
RANGE|A variety or extent|Scope of something
RAPID|Very fast|Quick movement
RATIO|A relationship between numbers|Mathematical comparison
REACH|To stretch out to|Extend towards
REACT|To respond to something|Answer to stimulus
REALM|A kingdom or area|Domain of a king
REBEL|To resist authority|Fight against rules
REFER|To mention or direct to|Point towards
REIGN|The rule of a monarch|Royal period
RELAX|To become less tense|Take it easy
REPAY|To pay back|Return money owed
REPLY|A response|Answer given
RIDER|A person on horseback|Mounted person
RIDGE|A narrow raised strip|Mountain edge
RIFLE|A long barrelled gun|Soldier weapon
RIGHT|Correct or a direction|Opposite of wrong
RIGID|Not flexible|Stiff and firm
RISKY|Involving danger|Hazardous action
RIVAL|A competitor|Someone you compete with
RIVER|A large natural water flow|Runs to the sea
ROAST|To cook in dry heat|Sunday dinner
ROBOT|An automated machine|Artificial worker
ROCKY|Full of rocks|Uneven surface
ROMAN|Relating to ancient Rome|Latin civilisation
ROOMY|Having plenty of space|Spacious area
ROUGE|A red cosmetic|Cheek colour
ROUGH|Not smooth|Uneven texture
ROUND|Circular in shape|No corners
ROUTE|A path taken|Way to destination
ROYAL|Relating to a king or queen|Regal status
RUGBY|A team ball sport|Played with oval ball
RULER|A measuring tool or leader|Draws straight lines
RURAL|Relating to the countryside|Not urban
SADLY|In a sorrowful way|With unhappiness
SAINT|A holy person|Canonised by church
SALAD|A dish of raw vegetables|Healthy meal
SALON|A place for hair styling|Beauty parlour
SAUCE|A liquid added to food|Tomato or gravy
SCALE|A measuring device or fish covering|Balance or climb
SCARE|To frighten|Make someone afraid
SCENE|A view or part of play|Visual setting
SCENT|A pleasant smell|Fragrance
SCORE|Points in a game|Match result
SCOUT|To search or explore|Observe ahead
SEIZE|To grab suddenly|Take hold of
SENSE|An ability to perceive|One of five senses
SERVE|To provide a service|Help and assist
SEVEN|The number 7|Between six and eight
SHADE|An area of darkness|Shadow area
SHAKE|To move rapidly|Tremble and shiver
SHALL|Used to express future|Will happen
SHAME|A feeling of embarrassment|Guilt and dishonour
SHAPE|The form of an object|Outline and form
SHARE|To divide between others|Give a portion
SHARK|A large predatory fish|Ocean hunter
SHARP|Having a fine edge|Opposite of blunt
SHEAR|To cut or clip|Sheep shearing
SHEEP|A wool producing animal|Gives us wool
SHEER|Very steep or thin|Absolute and utter
SHELF|A flat board for storage|Books rest here
SHELL|A hard outer covering|Found on beach
SHIFT|To move or change|Change position
SHINE|To emit light|Bright and glowing
SHIRT|A garment for upper body|Worn with trousers
SHOCK|A sudden surprise|Unexpected event
SHORE|Land beside the sea|Beach area
SHORT|Not tall or long|Brief and small
SHOUT|To speak very loudly|Yell and cry out
SIGHT|The ability to see|Visual sense
SIGMA|A Greek letter|Mathematical symbol
SILLY|Lacking sense|Foolish and absurd
SINCE|From a time in past|After that point
SIXTH|The ordinal of six|Position number six
SIZED|Of a particular size|Measured dimensions
SKILL|An ability developed by practice|Learned capability
SKULL|The bony structure of head|Skeleton head
SLATE|A type of rock|Used for roofing
SLAVE|A person owned by another|Historical oppression
SLEEP|A natural rest state|Unconscious rest
SLICE|A thin flat piece|Cut portion
SLIDE|To move smoothly|Slip and glide
SLOPE|An inclined surface|Hill gradient
SMALL|Little in size|Opposite of large
SMART|Intelligent or well dressed|Clever and sharp
SMELL|To perceive odour|Use your nose
SMILE|A happy facial expression|Shows happiness
SMOKE|Gas produced by burning|Rises from fire
SNAKE|A legless reptile|Slithers on ground
SOLAR|Relating to the sun|Sun powered
SOLID|Firm and stable|Not liquid or gas
SOLVE|To find an answer|Work out problem
SORRY|Feeling regret|Apology expression
SOUTH|A direction on compass|Opposite of north
SPACE|The universe beyond atmosphere|Stars and planets
SPARE|Extra or to save from|Additional reserve
SPARK|A small fiery particle|From fire or electricity
SPEAK|To express in words|Talk and converse
SPEED|Rate of movement|How fast something goes
SPEND|To use money|Pay out funds
SPICE|A flavouring from plants|Makes food tasty
SPIKE|A sharp pointed object|Sharp projection
SPINE|The backbone|Column of vertebrae
SPITE|A desire to hurt|Malicious feeling
SPLIT|To divide or break|Separate into parts
SPOKE|Past tense of speak|Said words
SPOON|A utensil for eating|Scoops up food
SPORT|Physical activity and competition|Games and athletics
SPRAY|To scatter liquid|Fine mist
SQUAD|A small group|Team unit
STACK|A pile of objects|Layered heap
STAGE|A platform for performance|Theatre platform
STAIN|A mark difficult to remove|Dirty mark
STAIR|A step in a staircase|Goes up or down
STAKE|A pointed post|Also a wager
STALE|No longer fresh|Old and dry
STALL|A small booth|Market stand
STAMP|To press firmly or postage|Mark with impression
STAND|To be upright|Vertical position
STARE|To look fixedly|Gaze intently
START|To begin|Commence action
STATE|A condition or territory|Political region
STAYS|Remains in place|Does not leave
STEAL|To take without permission|Rob and thieve
STEAM|Water in gaseous form|From boiling water
STEEL|A strong metal alloy|Iron and carbon mix
STEEP|Rising sharply|Very sharp slope
STEER|To guide direction|Control movement
STICK|A thin piece of wood|Also to adhere
STIFF|Not flexible|Rigid and firm
STILL|Not moving or even now|Motionless state
STOCK|A supply or shares|Inventory or investment
STONE|A hard mineral material|Rock fragment
STORE|A place to buy goods|Shop or warehouse
STORM|Violent weather|Thunder and lightning
STORY|A narrative account|Tale told or written
STOVE|A cooking appliance|Kitchen heater
STRAP|A narrow strip of material|Fastening band
STRAW|Dried stalks of grain|Drinking tube too
STRIP|A long narrow piece|Remove covering
STUCK|Unable to move|Fixed in place
STUDY|To learn about a subject|Academic work
STYLE|A distinctive manner|Fashion and design
SUGAR|A sweet substance|Added to tea
SUITE|A set of rooms|Hotel accommodation
SUNNY|Bright with sunshine|Clear weather
SUPER|Above average or excellent|Outstanding quality
SURGE|A sudden powerful increase|Rush forward
SWAMP|Waterlogged ground|Marshy area
SWEAR|To take an oath|Solemn promise
SWEAT|Moisture from skin|Produced by exercise
SWEEP|To clean with a brush|Brush away
SWEET|Having a sugary taste|Pleasant flavour
SWEPT|Past tense of sweep|Cleaned away
SWIFT|Moving very fast|Quick as a bird
SWORD|A long bladed weapon|Knights carried this
SWORN|Having taken an oath|Promised solemnly
TABLE|A piece of furniture|Used for eating
TASTE|The sense of flavour|Use your tongue
TEACH|To instruct|Pass on knowledge
TEARS|Drops from crying eyes|Shed when sad
TEETH|Hard structures in mouth|Used for chewing
THANK|To express gratitude|Show appreciation
THEME|A subject or topic|Central idea
THICK|Having great depth|Opposite of thin
THINK|To use the mind|Contemplate ideas
THORN|A sharp point on plant|Rose has these
THOSE|Plural of that|Referring to things
THREE|The number 3|Between two and four
THREW|Past tense of throw|Hurled through air
THUMB|The short thick finger|Opposable digit
TIGER|A large striped wild cat|Orange and black
TIGHT|Firmly fixed or close|Not loose
TIMER|A device that measures time|Counts down
TIRED|In need of rest|Exhausted feeling
TITLE|A name or heading|Label of a work
TODAY|On this present day|Not yesterday
TOKEN|A symbol or small object|Represents something
TOOTH|A hard structure in mouth|Used to bite
TOTAL|The complete amount|Everything added up
TOUCH|To make contact|Physical contact
TOUGH|Strong and durable|Hard to break
TOWER|A tall narrow structure|Castle feature
TOXIC|Poisonous|Harmful substance
TRACE|A mark left behind|Faint sign
TRACK|A path or course|Running circuit
TRADE|Exchange of goods|Commercial activity
TRAIL|A path through wilderness|Hiking route
TRAIN|To practice or vehicle|Learning or transport
TRAIT|A distinguishing quality|Personal characteristic
TRAMP|To walk heavily|Vagrant person
TRAPS|Devices to catch animals|Snares and pitfalls
TRASH|Waste material|Rubbish and refuse
TREAD|To walk on|Step upon surface
TREAT|Something enjoyable|Special reward
TREMBLE|To shake with fear|Shiver uncontrollably
TREND|A general direction|Popular fashion
TRIAL|A test or legal process|Court case
TRIBE|A social group|Community unit
TRICK|A clever act|Deceptive manoeuvre
TRIED|Made an attempt|Gave it a go
TROOP|A group of soldiers|Military unit
TROUT|A freshwater fish|Found in rivers
TRUCK|A large motor vehicle|Carries heavy loads
TRULY|In a truthful manner|Genuinely and sincerely
TRUNK|A large box or tree part|Elephant nose too
TRUST|Firm belief in reliability|Confidence in someone
TRUTH|That which is true|Fact and reality
TUMOR|An abnormal growth|Medical condition
TUNER|A device for tuning|Radio adjuster
TUNIC|A loose garment|Ancient clothing
TWIGS|Small thin branches|Sticks from tree
TWIST|To rotate or turn|Spiral movement
ULTRA|Extreme or beyond|Going further
UNCLE|Parent sibling male|Father or mother brother
UNDER|Below or beneath|Lower position
UNIFY|To bring together|Make into one
UNION|A group joined together|Workers organisation
UNITE|To join together|Combine as one
UNTIL|Up to a point in time|Before a moment
UPPER|Higher in position|Above the lower
UPSET|To disturb or make unhappy|Distressed feeling
URBAN|Relating to a city|City based
USAGE|The way something is used|Manner of use
USHER|To guide or escort|Show to seats
USUAL|Happening regularly|Normal occurrence
UTTER|Complete or to speak|Total and absolute
VAGUE|Not clear or definite|Unclear meaning
VALID|Legally or logically sound|Acceptable and true
VALUE|The importance of something|Worth and merit
VALVE|A device controlling flow|Opens and closes
VAPOR|A substance in gaseous form|Steam and mist
VAULT|An arched roof or safe|Secure storage
VIGOR|Physical strength and energy|Vitality and force
VIOLA|A stringed musical instrument|Larger than violin
VIRAL|Spreading rapidly|Goes everywhere fast
VISIT|To go to see someone|Call upon a person
VISTA|A pleasing view|Scenic outlook
VITAL|Essential for life|Critically important
VIVID|Bright and strong|Intense and clear
VOCAL|Relating to the voice|Spoken sound
VOICE|Sound produced by speaking|Human sound
VOTER|A person who votes|Election participant
VULVA|Female anatomy|Anatomical term
WAGER|A bet|Risky stake
WASTE|To use carelessly|Unnecessary loss
WATCH|To observe or timepiece|Look at or wear
WATER|A clear liquid|Essential for life
WEAVE|To interlace threads|Make fabric
WEDGE|A triangular shaped object|Doorstop shape
WEIGH|To measure mass|Find the weight
WEIRD|Strange and unusual|Bizarre behaviour
WHALE|A large sea mammal|Largest animal
WHEAT|A cereal grass|Used to make bread
WHEEL|A circular rotating object|Round and rolling
WHERE|In what place|Location question
WHILE|During the time that|At the same time
WHITE|The colour of snow|Opposite of black
WHOLE|Complete and entire|Nothing missing
WHOSE|Belonging to whom|Ownership question
WIDEN|To make broader|Increase the width
WIDOW|A woman whose husband died|Bereaved wife
WITCH|A person who practises magic|Rides a broomstick
WOMAN|An adult female|Opposite of man
WORDS|Units of language|Make up sentences
WORLD|The earth and all life|Our planet
WORRY|To feel anxious|Troubled thoughts
WORSE|More bad than before|Not as good
WORST|Most bad|Bottom of the scale
WORTH|The value of something|Deserving of something
WOULD|Past form of will|Conditional action
WOUND|An injury|Damaged flesh
WRIST|The joint between hand and arm|Wear watch here
WROTE|Past tense of write|Composed words
YACHT|A large sailing boat|Luxury vessel
YIELD|To produce or give way|Surrender or produce
YOUNG|In early stage of life|Not old
YOURS|Belonging to you|Your possession
YOUTH|The state of being young|Early years
ZEBRA|A striped African animal|Black and white stripes
ZONAL|Relating to zones|Area division
ABSENT|Not present|Away from place
ACCENT|A distinctive way of speaking|Regional pronunciation
ACCEPT|To receive willingly|Agree to take
ACROSS|From one side to other|Horizontal direction
ACTION|The process of doing|Something done
ACTIVE|Engaged in activity|Busy and moving
ACTUAL|Existing in reality|Real and true
ADJUST|To alter slightly|Make small change
ADMIRE|To regard with respect|Look up to someone
AFFORD|To have enough money|Can pay for it
AGENDA|A list of items|Meeting plan
ALMOST|Very nearly|Not quite there
ALWAYS|At all times|Every single time
ANIMAL|A living organism|Not a plant
ANNUAL|Happening every year|Yearly event
ANSWER|A reply to a question|Response given
ANYONE|Any person|No specific person
APPEAR|To come into view|Become visible
AROUND|On all sides|Encircling something
ARRIVE|To reach a destination|Come to place
ASPECT|A particular part|One side of thing
ASSIST|To help|Give support
ATTACH|To fasten to|Connect together
ATTACK|To act against aggressively|Offensive action
AUTUMN|The season after summer|Falling leaves season
AVENUE|A wide road|Tree lined street
BORROW|To take temporarily|Return it later
BOTTLE|A glass or plastic container|Holds liquid
BOTTOM|The lowest point|Beneath everything
BOUNCE|To spring back|Ball movement
BRANCH|Part of a tree|Also part of business
BRIDGE|A structure over water|Connects two sides
BRIGHT|Giving out strong light|Shining brilliantly
BROKEN|Damaged and not working|In pieces
BUDGET|A financial plan|Money allocation
BUTTER|A dairy product|Spread on bread
BUTTON|A small fastener|On clothing
CAMERA|A device for taking photos|Captures images
CANCEL|To call off|Annul an event
CANDLE|A wax stick giving light|Burns with flame
CASTLE|A large fortified building|Medieval fortress
CAUGHT|Past tense of catch|Grabbed and held
CENTER|Middle point|Central location
CHANGE|To make different|Alter and modify
CHARGE|To demand payment|Fee for service
CHOICE|An act of selecting|Option to pick
CIRCLE|A round shape|No corners at all
CLUMSY|Lacking coordination|Prone to accidents
COARSE|Rough in texture|Not smooth
COFFEE|A popular hot drink|Made from beans
COLUMN|A vertical structure|Architectural feature
COMBAT|To fight against|Battle and struggle
COMING|Moving towards|Approaching here
COMMON|Occurring frequently|Shared by many
COTTON|A natural soft fibre|Used for clothing
COURSE|A path or subject|Direction or study
CREATE|To bring into existence|Make something new
CREDIT|Recognition or money owed|Financial trust
CRISIS|A time of danger|Emergency situation
CUSTOM|A traditional practice|Regular habit
DAMAGE|Harm caused to something|Physical injury
DANGER|Possibility of harm|Risk and threat
DECIDE|To make a choice|Reach a conclusion
DEFEND|To protect from attack|Guard and shield
DEFINE|To explain meaning|State clearly
DELETE|To remove or erase|Wipe away data
DESERT|A dry sandy region|Little rainfall
DESIGN|A plan or pattern|Creative blueprint
DETAIL|A small particular fact|Specific information
DETECT|To discover or find|Uncover hidden thing
DIFFER|To be unlike|Not the same
DIRECT|Straight or to manage|Without detour
DIVIDE|To separate into parts|Split up equally
DOUBLE|Twice as much|Two times over
DRAGON|A mythical fire breathing creature|Medieval monster
DRIVER|A person who drives|Behind the wheel
DURING|Throughout the time of|In the period of
EASILY|Without difficulty|Simple manner
EFFECT|A result or consequence|Outcome of cause
EFFORT|Physical or mental exertion|Try hard
EITHER|One or the other|Both are options
EMERGE|To come out|Appear from within
EMPIRE|A group of nations|Ruled by emperor
ENABLE|To make possible|Allow to happen
ENERGY|The capacity to do work|Power and force
ENOUGH|As much as needed|Sufficient amount
ENTIRE|Complete and whole|Everything included
ESCAPE|To get away from|Run and flee
EVOLVE|To develop gradually|Change over time
EXCEED|To go beyond a limit|More than allowed
EXCEPT|Not including|Apart from this
EXPAND|To increase in size|Grow and spread
EXPERT|A person with great skill|Highly knowledgeable
EXTEND|To make longer|Stretch out further
FABRIC|A cloth material|Woven textile
FACTOR|An element that contributes|Contributing cause
FAILED|Did not succeed|Unsuccessful attempt
FALLEN|Having come down|Dropped to ground
FAMILY|A group of related people|Parents and children
FAMOUS|Known by many people|Widely recognised
FIGURE|A number or shape|Numerical value
FINGER|A digit on the hand|Used for pointing
FINISH|To bring to an end|Complete a task
FLOWER|A plant bloom|Colourful and fragrant
FLYING|Moving through the air|Aviation travel
FOLLOW|To come after|Move behind
FOREST|A large area of trees|Dense woodland
FORGET|To fail to remember|Memory lapse
FORMAL|Following rules or convention|Official and proper
FORMED|Came into being|Created and shaped
FOUGHT|Past tense of fight|Battled and struggled
FROZEN|Turned to ice|Very cold state
FUTURE|Time that is yet to come|What lies ahead
GARDEN|An area for growing plants|Outdoor space
GATHER|To bring together|Collect and assemble
GENDER|Male or female classification|Biological category
GENTLE|Mild and kind|Soft and careful
GLOBAL|Relating to the whole world|Worldwide scale
GOLDEN|Made of or like gold|Precious colour
GROUND|The surface of the earth|Under your feet
GROWTH|The process of growing|Increase in size
GUITAR|A stringed instrument|Six strings
HAMMER|A tool for hitting nails|Building tool
HAPPEN|To take place|Occur and come about
HARDLY|Almost not at all|Barely manages
HATRED|Intense dislike|Strong animosity
HEALTH|The state of being well|Physical wellbeing
HEIGHT|Measurement from base to top|How tall something is
HIDDEN|Concealed from view|Out of sight
HONEST|Truthful and sincere|Not deceptive
HUNTER|A person who hunts|Pursues animals
IMPACT|A strong effect|Collision or influence
IMPORT|To bring goods from abroad|Bring in from outside
INCOME|Money received regularly|Earnings and wages
INDEED|In truth or certainly|Truly and really
INFANT|A very young child|Baby stage
INJURY|Harm caused to body|Physical damage
INSIDE|The inner part|Interior location
INSIST|To demand firmly|Persist and press
INVEST|To put money into|Financial commitment
ISLAND|Land surrounded by water|Isolated land mass
JOYFUL|Full of happiness|Happy and pleased
JUNGLE|A dense tropical forest|Wild growth
JUNIOR|Lower in rank or younger|Below senior level
KNIGHT|A medieval warrior|Armoured fighter
LANDER|Something that lands|Space craft
LAUGHTER|The action of laughing|Response to humour
LAWYER|A legal professional|Practices law
LEADER|A person who leads|Head of group
LETTER|A written message|Postal communication
LIKELY|Probable to happen|Probably true
LISTEN|To pay attention to sound|Use your ears
LIVING|Being alive|Alive and existing
LONELY|Sad from being alone|Without company
LOSING|Failing to win|Coming in last
MARKET|A place to buy and sell|Trading location
MASTER|A person with great skill|Expert level
MATTER|Physical substance or issue|Relevant concern
MEADOW|A field of grass|Open grassland
MENTAL|Relating to the mind|Psychological aspect
METHOD|A way of doing something|Procedure followed
MIDDLE|The central point|Between two ends
